Lat,Long,LakeName,detected
61.96,-151.191,Skwentna River,1
61.822,-150.837,Yentna River,1
61.984,-150.749,Kahiltna River,1
61.627,-149.801,Little Susitna River,0
61.3174,-150.26222361111112,Susitna River,0
61.7729,-150.2462,Susitna River,1
61.701,-150.322,Kroto Creek,1
61.438,-150.597,Alexander Creek,1
62.346,-150.036,Talkeetna River,1
62.887,-149.965,Fountain River,0
61.948,-150.961,Fish Lakes,1
62.86,-150.692,Glacial Lake West Of Ruth Glacier,1
61.25,-150.793,Chedatna Lakes,0
62.003,-151.387,Hewitt Lake,1
62.34,-149.303,Rainbow Lake,1
62.479,-149.651,<Unknown/Unnamed>,0
61.77,-150.755,<Unknown/Unnamed>,1
62.423,-149.789,Sockeye Lake,1
62.407,-149.637,<Unknown/Unnamed>,0
62.398,-149.831,Katie Lake,1
62.329,-149.9,Larson Lake,1
62.486,-150.331,Lake Denali,1
62.321,-150.316,Scotty Lake,1
62.32,-150.414,<Unknown/Unnamed>,1
62.316,-150.063,Christiansen Lake,1
61.26,-150.771,Chedatna Lakes,1
62.436,-151.41,Chelatna Lake,1
61.988,-151.398,Whiskey Lake,1
61.627,-149.24,Gooding Lake,1
61.642,-149.284,Wolf Lake,1
61.619,-149.335,Anderson Lake,1
61.582,-149.402,Wasilla Lake,1
61.539,-149.406,Reedy Lake,1
61.296,-150.748,Chedatna Lakes,1
61.97,-150.961,Fish Lakes,1
62.248,-150.06,Fish Lake,1
61.976,-150.224,Trapper Lake,1
61.284,-150.393,<Unknown/Unnamed>,1
61.741,-150.058,Willow Lake,1
61.995,-150.476,<Unknown/Unnamed>,1
61.931,-150.382,Neil Lake,1
61.687,-150.01,Nancy Lake,1
61.503,-150.025,Diamond Lake,1
61.502,-150.166,Piper Lake,1
61.536,-149.864,Big Lake,1
61.336,-149.994,Lost Lake,1
61.143,-151.125,Tukallah Lake,1
61.411,-151.508,Beluga Lake,1
61.46,-149.948,Sevenmile Lake,1
61.219,-150.903,Seeley Lake,1
61.655,-150.899,Sucker Lake,1
61.624,-150.76,Trail Lake,1
61.078,-151.416,Congahbuna Lake,1
61.051,-151.223,Kaldachabuna Lake,1
61.348,-151.342,Lower Beluga Lake,1
61.255,-151.294,Felt Lake,1
61.735,-151.385,Hiline Lake,1
61.625,-151.45,Movie Lake,1
61.588,-151.445,Trinity Lake,1
61.489,-151.545,Coal Creek Lake,1
61.567,-151.55,Judd Lake,1
62.086,-152.728,Puntilla Lake,1
63.163,-149.429,<Unknown/Unnamed>,1
63.161,-149.428,Pond Near Colorado Town,0
63.02,-149.269,<Unknown/Unnamed>,0
63.087,-149.519,<Unknown/Unnamed>,1
63.06,-149.681,<Unknown/Unnamed>,1
62.78,-150.239,Spink Lake,1
62.536,-150.512,Bunco Lake,1
62.344,-150.693,Jake Lake,1
61.631,-149.949,Houston Lake,1
61.618,-149.679,Visnaw Lake,1
